rand_point_id	fid	roi_id	macroclass_id	class_id	B2	B3	B4	B5	B6	B7	B8	B11	longitud	latitud
50	3	s20260528_110617811174_79	3	3	3324	2493	4321	4776	1387	1886	1588	4750	-44.209	-20.126
51	3	s20260528_110617811174_79	3	3	3331	2506	4332	4788	1396	1870	1578	4752	-44.209	-20.126
52	3	s20260528_110617811174_79	3	3	3239	2460	4337	4769	1378	1854	1540	4760	-44.209	-20.126
53	3	s20260528_110617811174_79	3	3	3369	2477	4365	4806	1402	1889	1596	4838	-44.209	-20.126
54	3	s20260528_110617811174_79	3	3	3282	2460	4297	4758	1410	1846	1556	4759	-44.209	-20.126
55	3	s20260528_110617811174_79	3	3	3221	2420	4245	4676	1356	1788	1484	4432	-44.209	-20.126
56	3	s20260528_110617811174_79	3	3	3378	2490	4314	4755	1412	1874	1598	4703	-44.209	-20.126
57	3	s20260528_110617811174_79	3	3	3240	2445	4325	4729	1385	1836	1528	4715	-44.209	-20.126
58	3	s20260528_110617811174_79	3	3	3297	2473	4324	4798	1383	1889	1570	4764	-44.208	-20.126
59	3	s20260528_110617811174_79	3	3	3282	2460	4297	4758	1410	1846	1556	4759	-44.209	-20.126
60	4	s20260528_110804284476_254	4	4	2875	2191	2453	2588	1430	1655	2128	2528	-44.131	-20.141
61	4	s20260528_110804284476_254	4	4	2272	2001	2045	1984	1404	1562	1852	1866	-44.125	-20.128
62	4	s20260528_110804284476_254	4	4	2939	2347	2468	2564	1504	1694	2126	2426	-44.133	-20.140
63	4	s20260528_110804284476_254	4	4	2885	2324	2498	2567	1517	1698	2142	2440	-44.130	-20.141
64	4	s20260528_110804284476_254	4	4	2347	1949	1976	1998	1368	1516	1792	1869	-44.121	-20.132
65	4	s20260528_110804284476_254	4	4	2769	2356	2455	2483	1466	1692	2130	2353	-44.120	-20.137
66	4	s20260528_110804284476_254	4	4	2931	2319	2417	2428	1532	1728	2122	2301	-44.143	-20.135
67	4	s20260528_110804284476_254	4	4	2327	1912	1958	2005	1308	1478	1803	1977	-44.120	-20.134
68	4	s20260528_110804284476_254	4	4	2242	1730	1784	1817	1268	1392	1634	1732	-44.123	-20.124
69	4	s20260528_110804284476_254	4	4	2841	2245	2360	2418	1381	1552	1990	2319	-44.143	-20.136
70	4	s20260528_110804284476_254	4	4	2120	1827	1903	1880	1349	1484	1764	1794	-44.123	-20.129
71	4	s20260528_110804284476_254	4	4	2663	2325	2410	2455	1457	1690	2152	2324	-44.144	-20.140
72	4	s20260528_110804284476_254	4	4	2392	1924	1983	1996	1361	1498	1778	1896	-44.122	-20.125
73	4	s20260528_110804284476_254	4	4	2702	2365	2449	2467	1534	1742	2158	2355	-44.141	-20.133
74	4	s20260528_110804284476_254	4	4	2889	2309	2411	2428	1545	1742	2162	2324	-44.143	-20.135
75	4	s20260528_110804284476_254	4	4	2472	2126	2172	2156	1517	1718	2010	2056	-44.119	-20.140
76	4	s20260528_110804284476_254	4	4	2494	1952	2039	2052	1341	1524	1822	1931	-44.121	-20.131
77	4	s20260528_110804284476_254	4	4	2334	1818	1879	1878	1309	1434	1698	1823	-44.121	-20.127
78	4	s20260528_110804284476_254	4	4	3203	2488	2616	2647	1641	1840	2384	2625	-44.143	-20.140
79	4	s20260528_110804284476_254	4	4	2921	2370	2509	2562	1504	1698	2134	2439	-44.132	-20.140
80	5	s20260528_111001644386_707	5	5	1399	1942	2091	2222	1177	1320	1718	2049	-44.190	-20.144
81	5	s20260528_111001644386_707	5	5	1633	2011	2264	2408	1163	1316	1756	2142	-44.190	-20.144
82	5	s20260528_111001644386_707	5	5	1299	1924	2041	2141	1158	1318	1704	2066	-44.190	-20.144
83	5	s20260528_111001644386_707	5	5	1354	1957	2065	2181	1149	1310	1718	2039	-44.190	-20.144
84	5	s20260528_111001644386_707	5	5	1354	1957	2065	2181	1149	1310	1718	2039	-44.190	-20.144
