rand_point_id	fid	roi_id	macroclass_id	class_id	B2	B3	B4	B5	B6	B7	B8	B11	Longitud	Latitud
44	1	s20260528_110358141717_451	1	1	2431	1634	3074	3566	1160	1330	1186	3669	-4.417.878.777	-2.013.059.934
45	1	s20260528_110358141717_451	1	1	2447	1667	3160	3731	1190	1338	1190	3743	-4.417.878.490	-2.013.122.991
46	1	s20260528_110358141717_451	1	1	2431	1633	3040	3500	1154	1353	1199	3590	-4.417.892.756	-2.013.139.861
47	1	s20260528_110358141717_451	1	1	2438	1647	3083	3535	1150	1349	1191	3705	-4.417.893.663	-2.013.132.031
48	1	s20260528_110358141717_451	1	1	2433	1619	3080	3576	1159	1330	1189	3701	-4.417.877.091	-2.013.027.081
49	1	s20260528_110358141717_451	1	1	2438	1620	3034	3501	1151	1290	1187	3449	-4.417.895.267	-2.013.102.185
50	2	s20260528_110443305727_435	2	2	3358	2507	2948	3138	1396	1641	1706	3061	-4.420.472.271	-2.014.375.580
51	2	s20260528_110443305727_435	2	2	3400	2358	2651	2826	1773	1966	2174	2614	-4.420.490.397	-2.014.396.807
52	2	s20260528_110443305727_435	2	2	3310	2256	2631	2862	1546	1744	1922	2647	-4.420.600.589	-2.014.344.601
53	2	s20260528_110443305727_435	2	2	3440	2357	2839	3030	1783	1997	2268	2685	-4.420.554.525	-2.014.397.530
54	2	s20260528_110443305727_435	2	2	3336	2186	2720	2901	1478	1708	1854	2294	-4.420.544.227	-2.014.320.057
55	2	s20260528_110443305727_435	2	2	3413	2284	2858	3102	1866	2288	2494	2903	-4.420.593.991	-2.014.330.619
56	2	s20260528_110443305727_435	2	2	3376	2240	2814	3104	1324	1526	1583	3272	-4.420.533.465	-2.014.334.561
57	2	s20260528_110443305727_435	2	2	3340	2211	2691	2859	1534	1778	2048	2965	-4.420.566.651	-2.014.340.271
58	2	s20260528_110443305727_435	2	2	3365	2314	2961	3226	1476	1650	1728	3258	-4.420.556.949	-2.014.387.853
59	2	s20260528_110443305727_435	2	2	3404	2299	3344	3745	1394	1682	1689	3758	-4.420.676.090	-2.014.341.498
60	2	s20260528_110443305727_435	2	2	3301	2319	3107	3380	1577	1792	1841	3348	-4.420.650.825	-2.014.344.123
